trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,14,0.7383694163071381,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-117.92868970576922,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-123.11069736230304,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-101.74891947986366,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-255.17613132284598,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-32.64170752967066,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-50.63736870018378,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-142.20133323919882,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-20.67679592500725,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-96.98682852635746,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,14,-45.78656052557582,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,15,7.0421067485300695,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-102.2838463298491,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-11.212774946769255,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-110.75566108963437,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-78.78681680716521,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-84.4398718649357,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,10.304049187099718,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-28.933191270108317,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,26,14.925016727510494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,2,-59.01313430384772,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-157.27224472720235,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,13,-46.61131935374233,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,12,-19.258077882206226,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,6,-59.31148660114498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,0,-184.08233579869676,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,13,14.502192338530199,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,-11.25583294718619,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-10.67640053018374,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,5,-12.896953930149362,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
