trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-141.93668200150546,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0}",35,21,-84.35224469077149,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0}",25,0,-96.87350999232129,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-112.83268382599488,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-85.61979089903531,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0}",25,16,-7.820525780490501,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0}",20,0,-65.95611185448558,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0}",20,0,-20.464360816539866,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0}",20,0,-66.23455682648688,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",20,0,-59.38954318141403,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0}",20,0,-8.132109802561681,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0}",25,0,-69.62213054220075,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,-179.85191116947283,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0}",20,10,6.500495113324532,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0}",20,5,18.800053581858307,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0}",20,0,-61.12545702482965,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0}",30,1,-155.03350057778675,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 4}",1
18,False,"{'a': 0.5, 'e': 0}",25,0,-14.026200789268229,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-44.00536075390757,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-34.545598543480935,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,23.936712532838932,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,11,12.88153497338489,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-18.570235215600636,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,11,-8.626774455505847,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,18,4.795252712877295,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,-23.025258881955292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,3.8156576716606936,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,13,-23.951217277674075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,23.015119974709172,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-47.929088317847835,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
