trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-133.61471185417957,"{0: 71, 1: 54, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,-100,-136.3952960011231,"{0: 75, 1: 55, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-101.76590172247275,"{0: 74, 1: 46, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-101.99467965196754,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-58.84312221755287,"{0: 81, 1: 39, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-119.3639608393998,"{0: 74, 1: 51, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-87.44156323337965,"{0: 80, 1: 45, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-89.7800428656212,"{0: 76, 1: 49, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-116.42683701400958,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-152.93825953924178,"{0: 66, 1: 54, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,-100,-141.55121102711374,"{0: 79, 1: 56, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,-100,-134.9707559958184,"{0: 75, 1: 55, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-72.76657245120253,"{0: 76, 1: 44, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-130.9888305597219,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-100,-95.82808250843337,"{0: 78, 1: 47, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-100,-128.75748165313232,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-122.02974666973066,"{0: 68, 1: 52, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-100,-100.9957211195815,"{0: 82, 1: 48, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-146.44524213632667,"{0: 66, 1: 54, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,-100,-155.09640691359695,"{0: 73, 1: 57, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-61.415536689165805,"{0: 78, 1: 42, 2: 0, 3: 0, 4: 0}",0
